case	price	sqft
1	2050	2650
2	2080	2600
3	2150	2664
4	2150	2921
5	1999	2580
6	1900	2680
7	1800	2774
8	1560	1920
9	1450	2150
10	1449	1710
11	1375	1837
12	1270	1880
13	1250	2150
14	1235	1894
15	1170	1928
16	1180	1830
17	1155	1767
18	1110	1630
19	1139	1680
20	995	1725
21	995	1500
22	975	1430
23	975	1360
24	900	1400
25	960	1573
26	860	1385
27	1695	2931
28	1553	2200
29	1250	2277
30	1300	2000
31	1020	1478
32	1020	1713
33	922	1326
34	925	1050
35	899	1464
36	850	1190
37	876	1156
38	890	1746
39	870	1280
40	700	1215
41	720	1121
42	720	1050
43	749	1733
44	731	1299
45	725	1140
46	670	1181
47	2150	2848
48	1599	2440
49	1350	2253
50	1299	2743
51	1250	2180
52	1239	1706
53	1200	1948
54	1125	1710
55	1100	1657
56	1080	2200
57	1050	1680
58	1049	1900
59	955	1565
60	934	1543
61	875	1173
62	889	1549
63	855	1900
64	835	1560
65	810	1365
66	805	1258
67	799	1314
68	750	1338
69	759	997
70	755	1275
71	750	1030
72	730	1027
73	729	1007
74	710	1083
75	773	1320
76	690	1348
77	670	1350
78	619	837
79	1295	3750
80	975	1500
81	939	1428
82	820	1375
83	780	1080
84	770	900
85	700	1505
86	620	1480
87	540	1142
88	1070	1464
89	2100	2116
90	725	1280
91	660	1159
92	600	1198
93	580	1051
94	1844	2250
95	1580	2563
96	699	1400
97	1330	1850
98	1160	1720
99	1109	1740
100	1129	1700
101	1050	1620
102	1045	1630
103	1050	1920
104	1020	1606
105	1000	1535
106	1030	1540
107	975	1739
108	950	1715
109	940	1305
110	920	1415
111	945	1580
112	874	1236
113	872	1229
114	870	1273
115	869	1165
116	766	1200
117	739	970
